dateworked,houersWordked
10/25/2015,2:47
6/20/2015,9:40
3/19/2017,8:40
11/16/2020,17:30
12/1/2018,15:15
8/22/2020,10:44
12/27/2016,0:15
5/22/2015,15:44
6/23/2015,4:49
6/3/2015,11:23
10/24/2020,2:46
5/6/2018,22:03
12/15/2019,20:17
9/22/2016,6:59
10/14/2020,0:47
11/28/2017,6:00
10/14/2017,18:58
11/8/2018,23:13
10/14/2016,5:57
10/26/2016,0:50
3/17/2021,18:12
1/21/2016,12:24
8/1/2016,7:18
9/8/2019,23:05
9/16/2017,18:09
4/22/2020,20:55
5/16/2016,7:27
10/12/2015,11:23
8/26/2020,17:01
5/31/2015,13:41
12/19/2020,19:17
12/11/2016,22:41
3/15/2016,3:10
4/10/2021,15:43
7/6/2017,19:34
5/19/2015,5:42
1/7/2016,21:39
3/19/2017,17:27
12/20/2016,19:32
3/8/2018,16:46
4/17/2020,15:53
12/26/2015,5:30
5/18/2019,3:57
1/6/2019,12:01
5/29/2015,8:28
8/8/2015,11:10
4/22/2016,6:29
4/2/2016,22:51
8/28/2016,19:04
10/18/2015,21:43
12/8/2015,20:36
12/29/2020,15:48
4/8/2018,2:30
12/2/2018,13:05
7/12/2017,2:50
4/25/2018,10:57
4/25/2018,11:54
10/11/2017,22:32
1/27/2017,8:47
10/6/2016,0:46
12/13/2018,19:18
5/26/2018,7:43
2/14/2016,12:29
1/7/2016,5:07
3/8/2020,9:43
10/15/2016,0:58
2/16/2016,16:50
10/10/2017,2:39
12/26/2020,9:25
6/18/2019,19:50
9/10/2020,0:38
5/18/2020,13:35
4/12/2018,4:22
3/4/2019,2:07
1/24/2019,14:36
7/16/2017,8:01
1/10/2021,10:16
7/6/2017,9:18
2/23/2020,4:34
2/27/2021,16:15
1/12/2016,9:25
8/1/2016,16:21
4/22/2020,5:51
7/10/2020,8:40
8/17/2017,21:00
2/10/2021,23:53
1/3/2018,10:31
12/2/2017,21:38
1/27/2017,13:18
11/23/2020,5:17
9/12/2019,0:51
7/18/2019,6:04
3/13/2017,14:22
6/9/2015,3:31
3/1/2020,20:53
5/30/2018,4:02
7/13/2017,18:42
11/30/2020,0:13
4/16/2021,23:13
6/21/2018,1:09
11/5/2020,14:30
9/7/2018,13:22
11/25/2017,22:17
7/18/2020,12:07
5/22/2015,21:00
10/17/2018,16:09
2/23/2020,1:38
12/10/2020,2:27
4/24/2020,5:02
8/6/2015,17:32
11/17/2018,21:36
7/5/2020,10:01
8/10/2019,19:03
6/16/2015,12:34
12/11/2017,9:03
8/6/2018,6:53
12/6/2017,11:26
8/11/2017,18:32
7/29/2019,21:26
2/22/2018,20:46
1/13/2016,1:06
2/10/2017,20:59
7/25/2017,4:34
12/16/2016,3:50
7/25/2017,15:27
10/19/2019,0:40
12/18/2016,4:54
1/29/2018,18:14
9/8/2016,13:16
8/14/2020,12:41
12/3/2017,17:45
8/14/2017,19:22
9/15/2016,21:37
12/21/2017,20:20
9/10/2019,23:21
8/19/2018,4:57
5/4/2019,11:01
7/20/2019,13:05
7/8/2020,15:28
1/21/2016,16:29
7/15/2020,12:46
10/12/2018,7:02
9/5/2020,14:30
4/13/2016,9:01
11/2/2020,18:33
5/7/2015,6:51
4/7/2017,17:26
12/14/2015,6:42
1/27/2016,14:32
1/13/2020,5:43
6/9/2020,17:57
9/19/2016,12:43
8/7/2018,19:54
8/9/2018,6:41
4/11/2021,2:34
2/15/2020,10:42
1/15/2021,3:20
7/15/2019,14:07
10/21/2019,9:59
4/3/2019,0:05
8/7/2019,8:44
3/5/2018,21:39
11/29/2017,6:59
8/18/2015,13:37
10/18/2017,16:18
1/29/2017,2:48
3/13/2017,10:33
1/5/2019,7:58
1/19/2020,14:02
6/27/2019,0:18
12/29/2020,8:42
1/7/2019,4:23
10/5/2016,14:31
2/1/2018,2:36
1/20/2019,19:55
3/23/2016,16:39
1/4/2016,4:13
9/23/2015,18:00
8/9/2017,12:45
6/24/2017,16:43
3/26/2017,12:43
9/19/2015,1:04
3/24/2018,17:51
8/12/2018,19:45
3/3/2016,14:23
10/4/2019,15:40
8/24/2019,17:27
1/31/2016,16:01
1/29/2016,12:23
12/14/2016,4:21
10/4/2019,17:38
2/19/2019,23:40
12/23/2018,8:43
11/6/2016,17:33
8/11/2019,2:39
7/16/2017,10:50
9/16/2017,15:42
4/28/2016,23:43
6/2/2020,10:52
7/24/2017,14:25
4/10/2017,10:59
10/22/2020,7:00
1/14/2020,17:11
5/20/2018,12:51
12/14/2015,5:34
5/12/2019,12:53
9/5/2017,12:52
11/5/2019,6:39
1/1/2017,6:49
4/15/2021,21:17
6/15/2017,17:50
1/21/2017,23:17
1/10/2021,7:55
5/16/2017,9:46
12/10/2015,7:07
10/9/2017,18:41
5/31/2020,15:24
1/21/2017,22:32
12/9/2020,13:43
12/4/2018,18:31
5/13/2020,5:40
10/10/2016,18:23
3/26/2018,4:08
3/20/2016,17:20
5/21/2018,2:00
2/20/2018,3:16
7/7/2016,7:46
12/2/2015,20:39
2/4/2017,8:46
7/26/2019,9:23
8/19/2017,6:31
6/1/2019,14:58
3/27/2017,18:22
5/5/2016,17:10
9/10/2015,23:31
11/11/2017,14:34
4/5/2021,19:08
1/6/2016,7:27
8/2/2015,19:34
6/24/2015,7:04
1/23/2016,18:48
10/21/2017,4:55
3/29/2021,2:37
11/20/2015,14:30
11/8/2020,1:10
6/5/2020,2:20
5/30/2019,9:00
10/27/2016,22:56
9/4/2018,3:14
9/27/2019,15:46
3/12/2019,19:03
3/3/2020,13:12
6/1/2016,1:52
4/2/2019,6:23
5/1/2016,23:28
2/3/2017,15:24
8/13/2015,16:57
4/4/2020,14:20
10/13/2015,13:12
7/3/2015,8:54
11/29/2019,13:44
11/24/2017,15:53
2/13/2019,9:44
12/9/2020,0:41
12/6/2020,2:27
9/29/2018,10:42
7/20/2018,10:18
4/21/2018,4:32
4/10/2017,11:20
12/3/2015,7:21
2/20/2017,3:42
7/24/2016,17:41
7/31/2018,13:12
4/19/2021,0:42
3/25/2017,11:10
8/9/2017,13:11
1/17/2018,12:29
10/28/2018,21:21
7/19/2017,15:06
9/15/2015,19:23
6/10/2020,21:49
4/19/2017,12:09
8/22/2016,12:39
1/25/2021,11:25
3/3/2020,17:18
12/10/2016,12:13
3/25/2019,9:52
2/17/2021,5:45
6/5/2017,16:12
4/4/2021,10:06
6/10/2016,20:18
4/26/2015,11:50
12/30/2015,5:52
7/10/2015,21:49
7/5/2016,16:52
11/24/2018,19:46
2/5/2020,10:02
3/12/2021,14:03
12/24/2015,0:17
2/4/2020,11:33
7/21/2019,0:55
8/4/2019,13:31
12/4/2016,4:20
4/7/2017,14:41
5/31/2015,5:24
3/14/2019,11:20
11/20/2020,0:14
7/21/2018,12:39
6/16/2019,7:01
3/1/2021,15:18
10/14/2017,2:36
11/20/2016,23:39
9/13/2019,2:55
1/8/2016,21:51
1/30/2017,19:15
8/26/2020,21:46
11/24/2015,17:48
4/1/2017,16:09
9/20/2018,6:07
1/19/2021,1:49
5/23/2016,11:24
2/9/2016,11:26
11/22/2016,11:02
4/13/2017,11:08
12/11/2019,4:25
9/14/2017,7:10
10/15/2019,19:29
11/18/2019,22:01
7/3/2016,0:03
7/25/2020,10:25
6/13/2019,14:03
12/21/2016,13:50
8/18/2018,18:43
9/29/2017,23:46
1/11/2018,21:15
2/21/2020,19:19
7/19/2016,18:54
4/20/2018,14:04
2/25/2021,2:25
8/19/2020,1:45
12/4/2018,16:31
8/5/2020,17:23
8/8/2020,13:52
4/16/2017,14:26
8/14/2018,7:43
3/1/2018,11:35
1/12/2019,6:00
5/6/2016,0:26
9/1/2016,16:00
4/20/2016,23:55
1/12/2016,7:18
9/22/2019,3:21
8/16/2016,1:06
7/6/2017,0:42
5/19/2020,14:40
10/4/2016,11:22
12/26/2019,14:55
4/28/2017,17:20
4/7/2020,3:27
3/5/2019,10:43
3/27/2016,22:41
1/12/2020,16:31
10/25/2015,10:57
9/20/2017,12:28
10/2/2015,15:00
11/3/2016,4:12
3/30/2021,17:23
12/17/2017,0:28
11/10/2017,8:53
3/21/2018,10:13
5/20/2019,19:17
5/4/2016,23:17
10/7/2018,9:35
4/29/2018,14:58
7/11/2018,8:04
2/6/2016,6:48
9/14/2016,7:56
6/14/2019,2:16
8/26/2015,17:07
8/7/2018,11:36
6/2/2016,16:39
4/1/2017,11:44
1/13/2018,9:57
2/22/2017,5:15
10/20/2018,5:27
6/16/2017,18:50
12/27/2016,0:20
6/17/2018,20:38
8/18/2018,13:06
11/30/2015,2:54
12/29/2017,2:26
10/15/2019,13:14
2/1/2016,9:11
7/12/2020,11:11
8/27/2019,22:28
5/22/2016,5:24
2/15/2017,4:13
12/30/2015,23:56
5/22/2020,18:55
7/2/2017,23:30
11/30/2020,18:39
6/20/2019,13:14
4/10/2021,17:40
5/13/2019,10:03
1/10/2020,5:21
4/1/2017,6:58
3/23/2021,14:31
4/9/2020,4:30
11/21/2018,1:17
8/31/2018,21:27
3/15/2021,16:39
9/26/2015,8:30
4/4/2018,2:16
9/14/2019,23:54
12/3/2020,7:27
6/11/2018,15:00
12/3/2016,6:37
4/17/2017,23:38
10/27/2019,3:19
4/3/2021,3:14
1/5/2018,22:00
11/4/2018,2:29
6/28/2017,14:55
8/26/2018,7:01
9/6/2015,13:53
10/8/2018,15:00
11/4/2019,16:52
5/10/2019,6:26
5/27/2017,15:25
12/15/2015,7:55
8/14/2018,0:15
12/18/2016,14:05
7/18/2020,2:00
1/23/2016,5:22
1/7/2018,8:28
7/2/2017,20:22
11/30/2015,20:43
12/18/2018,17:15
7/10/2018,6:52
3/5/2017,19:51
4/25/2019,23:24
2/9/2019,20:58
7/12/2015,3:22
3/19/2016,16:23
3/26/2017,1:50
7/3/2016,0:37
4/2/2021,8:35
10/1/2015,0:23
3/7/2018,20:59
2/15/2016,1:21
4/21/2020,4:35
7/13/2017,21:19
5/20/2019,15:06
8/7/2016,3:28
12/20/2020,13:10
6/3/2015,2:06
12/30/2019,17:05
7/10/2019,18:00
5/9/2015,22:28
7/20/2020,5:43
8/30/2015,11:33
6/12/2020,18:30
3/31/2018,6:47
11/17/2016,19:35
10/14/2020,3:41
8/2/2018,3:13
12/20/2020,17:16
10/28/2020,0:15
5/13/2015,12:00
2/16/2020,3:54
7/6/2015,20:27
11/17/2015,12:57
3/22/2020,3:34
2/4/2016,4:18
10/24/2019,20:30
8/4/2016,22:22
2/16/2019,18:59
9/7/2016,4:46
6/11/2020,10:04
6/19/2018,18:28
8/30/2019,14:56
6/16/2019,10:54
2/1/2016,7:43
2/22/2019,3:53
12/10/2015,11:01
4/25/2016,2:47
11/4/2018,2:53
3/11/2019,5:19
10/9/2017,2:38
5/17/2015,15:50
8/16/2018,2:12
9/30/2020,23:30
1/19/2018,22:45
8/30/2019,9:34
12/19/2016,3:17
7/9/2020,3:38
4/25/2017,20:31
3/1/2017,10:30
7/18/2020,18:28
11/15/2015,4:04
8/12/2019,8:08
7/17/2020,13:32
9/18/2020,4:33
6/27/2020,2:30
8/12/2015,13:39
4/24/2017,2:34
4/23/2016,13:09
7/29/2017,9:53
8/16/2018,7:52
1/26/2018,20:39
12/26/2016,4:26
12/2/2019,15:43
3/29/2017,6:38
9/15/2017,19:38
3/30/2017,11:35
12/12/2020,18:16
10/31/2020,6:23
4/6/2016,16:09
9/14/2018,16:55
3/16/2019,19:34
12/12/2019,10:01
8/17/2015,23:28
11/9/2016,18:07
3/6/2018,5:29
11/1/2019,5:31
8/3/2016,2:19
11/27/2016,18:32
6/23/2017,14:30
12/21/2018,3:53
6/27/2018,22:57
11/10/2020,8:05
8/17/2015,8:58
8/17/2018,23:22
4/6/2019,3:32
9/21/2018,3:49
5/23/2020,14:31
12/1/2020,19:45
11/9/2019,16:38
6/7/2018,7:48
3/19/2018,5:34
2/3/2020,15:16
4/9/2019,5:04
2/26/2019,22:31
5/18/2018,6:25
1/18/2018,19:17
11/18/2018,6:26
9/12/2019,11:59
10/31/2015,20:37
9/10/2018,14:43
8/2/2020,17:14
6/22/2020,12:43
6/25/2016,20:52
8/7/2016,8:11
1/21/2016,5:25
7/13/2018,21:34
7/5/2016,18:54
4/28/2017,6:58
9/6/2017,0:23
4/30/2017,1:18
6/23/2016,23:21
9/24/2019,12:24
3/3/2020,8:15
7/5/2019,15:09
1/12/2018,20:53
2/25/2016,10:54
11/13/2015,20:34
11/14/2020,19:45
8/29/2018,17:16
8/18/2016,17:50
4/15/2017,1:25
5/10/2018,20:47
4/22/2017,10:30
8/25/2020,6:43
2/29/2016,18:17
9/29/2015,23:29
1/9/2016,4:03
5/5/2018,20:19
4/29/2018,21:08
3/1/2017,20:08
5/12/2016,21:13
8/23/2015,19:25
9/22/2015,13:35
2/20/2020,10:36
9/24/2019,4:42
11/27/2020,13:49
3/11/2017,18:36
2/7/2017,13:36
7/7/2016,5:25
8/16/2018,3:43
9/9/2016,10:08
4/20/2020,10:28
2/27/2017,2:48
4/6/2019,0:19
3/29/2018,19:31
12/10/2018,6:48
9/13/2017,2:58
5/6/2020,12:39
7/21/2016,5:17
12/5/2018,10:49
3/10/2021,11:02
11/4/2018,4:51
1/8/2016,5:56
12/25/2019,22:23
7/10/2016,9:32
5/21/2020,9:54
12/15/2020,14:14
8/29/2016,11:35
10/11/2017,4:50
5/23/2016,12:39
10/18/2015,17:02
7/19/2015,6:21
2/13/2021,22:40
5/16/2020,4:25
5/12/2017,9:14
3/8/2016,9:33
6/10/2015,23:25
5/17/2019,21:31
6/8/2016,23:46
4/6/2016,19:46
11/29/2016,17:53
6/11/2018,8:55
7/28/2020,2:03
3/4/2016,8:13
10/9/2020,7:50
10/5/2019,21:51
5/29/2015,13:21
7/30/2019,1:24
12/31/2018,15:13
6/3/2018,12:53
9/27/2015,20:18
5/30/2020,9:49
9/28/2019,4:18
3/31/2020,2:25
11/7/2018,18:12
8/15/2020,14:30
12/13/2017,14:10
2/27/2020,1:58
11/24/2015,6:40
3/22/2018,13:56
3/2/2020,0:24
10/3/2018,22:23
4/9/2017,4:38
1/9/2018,3:20
3/11/2021,20:35
6/21/2019,15:59
4/11/2018,21:50
12/21/2017,5:10
2/10/2019,3:38
8/19/2016,1:19
10/5/2017,5:53
12/3/2019,21:57
10/1/2016,0:14
3/25/2021,4:48
4/5/2020,21:45
3/4/2021,23:10
2/27/2018,11:20
10/18/2016,10:01
8/20/2015,23:16
11/19/2018,23:09
1/16/2021,8:05
5/26/2017,2:54
11/5/2016,8:23
2/28/2018,7:20
7/16/2017,14:12
2/9/2021,0:53
10/12/2016,5:33
12/10/2020,0:24
2/20/2017,13:26
6/14/2020,2:29
6/1/2017,5:42
8/21/2020,15:13
9/3/2020,19:56
1/21/2017,0:43
8/25/2017,22:26
11/30/2017,5:58
10/1/2015,3:37
6/10/2019,1:13
1/12/2020,1:04
2/25/2017,6:05
8/5/2017,22:08
8/9/2017,10:23
6/18/2017,14:08
10/24/2017,15:20
3/19/2021,18:13
9/1/2018,22:25
8/31/2017,2:23
3/19/2020,8:34
5/15/2019,21:24
7/18/2017,13:12
8/10/2017,3:00
6/27/2018,8:46
5/30/2018,1:45
12/29/2017,21:56
8/9/2016,0:57
4/1/2016,12:16
11/14/2015,11:14
12/25/2020,9:00
8/20/2015,19:42
8/15/2017,2:53
9/8/2015,5:56
11/9/2015,22:48
3/6/2020,14:28
12/16/2017,6:01
11/12/2015,14:48
12/17/2020,7:41
11/22/2017,21:34
6/13/2020,12:59
6/14/2015,7:27
10/3/2020,15:54
2/19/2018,20:59
9/12/2015,19:52
1/6/2018,2:40
10/29/2019,18:42
8/6/2020,4:58
6/13/2017,19:19
6/12/2015,21:26
5/24/2020,19:44
9/26/2019,6:17
5/14/2019,6:24
12/16/2016,13:13
6/19/2017,17:57
11/12/2016,20:14
4/19/2017,6:57
12/14/2020,20:54
6/5/2015,18:30
10/21/2015,23:19
1/20/2019,23:36
10/5/2017,16:59
9/18/2015,17:55
11/6/2017,2:33
5/18/2020,8:37
12/3/2019,9:30
10/11/2017,21:54
10/5/2016,16:05
12/19/2015,17:36
5/28/2018,9:40
11/11/2015,0:31
4/25/2018,16:12
1/11/2019,0:03
3/6/2020,6:59
4/18/2020,23:02
9/21/2017,10:50
5/29/2017,9:12
8/27/2020,7:11
5/14/2016,9:13
11/28/2016,12:53
2/8/2019,5:49
5/19/2018,2:04
1/20/2016,1:19
7/23/2019,4:38
10/9/2015,4:06
2/18/2021,21:08
5/10/2016,14:08
2/6/2021,11:12
7/2/2015,22:37
10/18/2019,13:24
11/18/2016,23:36
7/3/2015,8:21
11/3/2020,1:50
8/13/2018,20:14
1/11/2020,22:58
9/6/2019,21:55
4/4/2017,8:12
6/3/2016,13:36
12/8/2015,22:51
11/7/2018,5:29
5/6/2018,20:23
10/22/2019,3:49
12/18/2019,20:27
7/6/2015,23:57
6/21/2018,16:23
1/24/2016,0:08
10/2/2016,16:30
3/3/2021,16:00
12/14/2017,5:43
10/2/2016,22:34
1/14/2017,19:35
3/23/2020,5:54
6/1/2019,9:59
8/24/2016,21:41
10/22/2015,2:12
10/19/2015,9:35
9/4/2019,0:21
12/30/2020,11:14
7/10/2016,16:10
12/9/2018,19:56
5/6/2018,3:58
12/2/2020,19:57
5/8/2018,19:04
4/17/2021,14:10
8/27/2017,5:19
10/6/2015,5:12
12/1/2016,20:26
8/19/2016,10:55
7/19/2015,6:25
8/31/2018,0:27
9/13/2017,6:54
8/28/2020,21:18
6/8/2016,19:15
9/20/2016,2:38
2/9/2020,16:56
1/22/2019,2:58
2/1/2016,22:04
11/17/2016,6:37
12/12/2019,13:44
9/28/2016,16:53
6/10/2016,3:54
7/16/2020,2:15
